catalog_identifier	name	long_name	ra	dec	magnitude	major_axis	Type	Const
712	Har 712	SLR 11	238.770833333333	-60.7488555555556	6.1	0	D*	TrA
713	Har 713	HJ 4813	238.9375	-60.1828111111111	5.8	0	D*	Nor
714	Har 714	xi Lup	239.2625	-33.9733666666667	5.1	0	D*	Lup
715	Har 715	eta Lup	240.070833333333	-38.4033333333333	3.4	0	D*	Lup
716	Har 716	NGC 6026	240.379166666667	-34.5344111111111	12.5	0.8	PN	Lup
717	Har 717	iota Nor	240.933333333333	-57.7800333333333	4.6	0	D*	Nor
718	Har 718	NGC 6025	241.125	-60.5027777777778	5.1	12	OC	TrA
719	Har 719	xi Sco	241.125	-11.3819777777778	4.3	0	D*	Sco
720	Har 720	beta Sco	241.395833333333	19.1930222222222	2.56	0	***	Sco
721	Har 721	Brs 11	242.425	-32.6552777777778	6.2	0	D*	Sco
722	Har 722	nu Sco	242.779166666667	19.5410777777778	4.5	0	***	Sco
723	Har 723	IC 4593	243.2125	12.0778111111111	11	2	PN	Her
724	Har 724	12 Sco	243.104166666667	-28.4242	5.7	0	D*	Sco
725	Har 725	NGC 6072	243.283333333333	-36.2360777777778	14	1.2	PN	Sco
726	Har 726	NGC 6067	243.341666666667	-54.2236444444444	5	13	OC	Nor
727	Har 727	PK329-2.2	243.683333333333	-54.9552777777778	11.9	0	PN	Nor
728	Har 728	sigma CrB	243.691666666667	33.8469111111111	5.2	0	D*	CrB
729	Har 729	NGC 6093	244.295833333333	-22.9985777777778	7	8.9	Gb	Sco
730	Har 730	NGC 6087	244.7625	-57.9052777777778	5.4	12	OC	Nor
731	Har 731	sigma Sco	245.333333333333	25.4161111111111	2.9	0	***	Sco
732	Har 732	NGC 6121	246.183333333333	-26.5483	5	26.3	Gb	Sco
733	Har 733	HN 39	246	-29.7	5.8	0	D*	Sco
734	Har 734	NGC 6124	246.625	-40.6753111111111	5.8	29	OC	Sco
735	Har 735	rho Oph	246.433333333333	-23.4536111111111	4.6	0	D*	Oph
736	Har 736	NGC 6101	246.520833333333	-72.2047222222222	9.3	11	Gb	Aps
737	Har 737	epsilon Nor	246.841666666667	-47.5591666666667	4.5	0	D*	Nor
738	Har 738	NGC 6144	246.845833333333	-26.0474666666667	9	9.3	Gb	Sco
739	Har 739	NGC 6134	247.2375	-49.1555555555556	7	7	OC	Nor
740	Har 740	NGC 6139	247.208333333333	-38.8538888888889	9	5.5	Gb	Sco
741	Har 741	iota TrA	247.045833333333	-64.0613888888889	5.3	0	D*	TrA
742	Har 742	STF 2048	247.2375	-8.13663333333333	6.5	0	D*	Oph
743	Har 743	alpha Sco	247.3875	26.5714222222222	1.06	0	***	Sco
744	Har 744	lambda Oph	247.758333333333	1.97558888888889	3.8	0	D*	Oph
745	Har 745	NGC 6153	248.170833333333	-40.2583333333333	12	0.4	PN	Sco
746	Har 746	NGC 6171	248.416666666667	-13.0605555555556	8	10	Gb	Oph
747	Har 747	NGC 6164	248.716666666667	-48.1008333333333	6.7	0	PN	Nor
748	Har 748	NGC 6167	248.691666666667	-49.6091666666667	6	8	OC	Nor
749	Har 749	R Ara	249.9875	-56.9974666666667	6.7	0	*	Ara
750	Har 750	NGC 6188	250.320833333333	-48.7991333333333	5.2	20	Nb	Ara
751	Har 751	NGC 6193	250.379166666667	-48.7828111111111	5.2	15	OC	Ara
752	Har 752	zeta Her	250.345833333333	31.5921888888889	2.8	0	D*	Her
753	Har 753	NGC 6205	250.691666666667	36.4669777777778	5	16.6	Gb	Her
754	Har 754	NGC 6200	251.075	-47.4994111111111	7	12	OC	Ara
755	Har 755	BU 1116	251.108333333333	-27.4608333333333	6.6	0	D*	Sco
756	Har 756	NGC 6210	251.395833333333	23.8242	9	0.2	PN	Her
757	Har 757	NGC 6204	251.833333333333	-47.0205888888889	8	5	OC	Ara
758	Har 758	NGC 6229	251.758333333333	47.5344111111111	9	4.5	Gb	Her
759	Har 759	NGC 6218	251.841666666667	-1.95472222222222	6	14.5	Gb	Oph
760	Har 760	CorO 201	252.695833333333	-50.0474666666667	6.5	0	D*	Ara
761	Har 761	HJ 4889	252.791666666667	-37.5167	6.1	0	D*	Sco
762	Har 762	21 Oph	252.883333333333	1.20888888888889	5.5	0	D*	Oph
763	Har 763	STF 2107	252.979166666667	28.6575	6.6	0	D*	Her
764	Har 764	NGC 6221	253.491666666667	-59.2214222222222	11	3.2	Gx	Ara
765	Har 765	NGC 6235	253.391666666667	-22.1988555555556	10	5	Gb	Oph
766	Har 766	NGC 6231	253.5	-41.8	2.6	15	C+N	Sco
767	Har 767	I 576	253.7875	-41.1544444444444	5.8	0	D*	Sco
768	Har 768	NGC 6242	254.179166666667	-39.5144444444444	6	9	OC	Sco
769	Har 769	24 Oph	254.2375	-23.155	5.6	0	D*	Oph
770	Har 770	IC 4628	254.283333333333	-40.3374666666667	7.3	90	Nb	Sco
771	Har 771	NGC 6254	254.316666666667	-4.10555555555556	6	15.1	Gb	Oph
772	Har 772	NGC 6256	255.175	-37.1250333333333	11.3	0	Gb	Sco
773	Har 773	SEE 316	255.158333333333	-48.6505555555556	6	0	D*	Ara
774	Har 774	NGC 6266	255.341666666667	-30.1328111111111	6	14.1	Gb	Oph
775	Har 775	IC 4634	255.675	-21.8474666666667	11	0.2	PN	Oph
