098.1+02.4 |    7.   71..9065
098.2+04.9 |    3. : 91.30002                    |   1.9  90..1502
100.0-08.7 |<   5.   91.30002                    |   1.2  90..1502
100.6-05.4 |    6.6  87...536, 71..9065          |   2.0  84..2631
101.8+08.7 |   56.   71..9065                    |  57.   89..1570
102.8-05.0 |  135.   71..9065
102.9-02.3 |   54.   71..9065
103.2+00.6 |   39.   71..9065
103.7+00.4 |   14.   71..9065                    |  14.   89..1570
104.1+01.0 |    0.   91.30002                    |   1.6  90..1502
104.1+07.9 |   77.   87...536, 71..9065
104.2-29.6 |  320.   71..9065
104.4-01.6 |   14.8  71..9065                    |  20.   89..1570
104.8-06.7 |    4. : 91.30002
106.5-17.6 |   17.   87...536                    |  26.   89..1570
107.4-00.6 |    0.   CS 90
107.4-02.6 |    3.5  72..9045                    |   6.   89..1570
107.6-13.3 |    4.2  81..1008, 71..9065          |   4.6  89..1570
107.7+07.8 |  900.   87..1248
107.7-02.2 |    8.   71..9065                    |   8.   89..1570
107.8+02.3 |   23.   87...536
108.4-76.1 |    3.   78...119
110.1+01.9 |    5.5  89.13501
110.6-12.9 |   33.   71..9065
111.0+11.6 |  530.   80..1011
111.2+07.0 |    6. : 72..9045                    |  10.   89..1570
111.8-02.8 |    1.   81..1008                    |   0.7  90..1502
112.5+03.7 |    5.1  72..9045
112.5-00.1 |    3.8  72..9045
112.9-10.2 |  120.   67.30013
113.6-06.9 |   47.   67.30013
114.0-04.6 |   94.   71..9065                    |  81.   89..1570
116.2+08.5 |   39.   71..9065                    |  40.   89..1570
117.5+18.9 |   28.5  87...536
118.0-08.6 |    5.2  SK 85                       |   6.   90..1502
118.7+08.2 |   63.   67.30013
118.8-74.7 |  245.   87...536, 71..9065          | 280.   89..1570
119.3+00.3 |   18. : 91.30002
119.4+06.5 |   47.   71..9065
119.6-06.7 |    5.   71..9065                    |  10.   89..1570
120.0+09.8 |   48.   83..2756
120.2-05.3 |  720.   77..1191
121.6+03.5 |   19.   77..1547
121.6-00.0 |   40. : CS 90
122.1-04.9 |   36.   87...536
123.6+34.5 |   10.   87...536
124.0+10.7 |  270.   87..1593
124.3-07.7 |  150.   81..1143
125.9-47.0 |  275.   71..9065
126.3+02.9 |    9.   72..9045                    |  10.   89..1570
128.0-04.1 |  340.   82.13501
129.2-02.0 |  195.   77..1548
129.5+04.5 |   10.   72..9045
130.2+01.3 |   13.   87...536, 71..9065
130.3-11.7 |    6.   71..9065                    |   5.   89..1570
130.4+03.1 |   12.2  72..9045
130.9-10.5 |   67.   67.30013                    | 100.   89..1570
131.4-05.4 |   24. : 91.30002
131.5+02.6 |   60.   71..9065
132.4+04.7 |   10.   72..9045
133.1-08.6 |   18. : 91.30002
