|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|Alpha Her    |SAO 102680; Rasalgethi             |HER|17 14.6|+14 23| 2.7|1.44|M5    |5th mag companion 4.8 sec PA 105                            |
|95 Her       |SAO 85648; STF 2264                |HER|18 01.5|+21 36| 4.3|0.95|G8    |4.3/4.6mag 6 sec PA 256; Pale Red and Orange-Dawes          |
|TW Hor       |SAO 233037; HD 20234               |HOR|03 12.6|-57 19| 5.7|2.28|C5    |                                                            |
|RY Hya       |TYC 200-1971-1; CCCS 1123          |HYA|08 20.1|+02 46| 9.1|3.77|Ne    |                                                            |
|MT Hya       |                                   |HYA|08 20.7|+05 11| 9.9|2.19|R5;C5 |                                                            |
|IQ Hya       |MSB 57; CCCS 1404                  |HYA|09 13.5|-23 24| 9  |2.57|Ne    |Period 412 days; 9.7-11.5m                                  |
|Alpha Hya    |HD 81797; Alphard; SAO 136871      |HYA|09 27.6|-08 40| 2  |1.44|K3    |                                                            |
|Y Hya        |SAO 178088; HD 85405; CCCS 1566    |HYA|09 51.1|-23 01| 6.5|3.8 |N3    |Period 303 days; 6.9-9.0m                                   |
|CZ Hya       |Hen 123; CCCS 1681                 |HYA|10 27.3|-25 33|10  |2.87|Ne    |                                                            |
|U Hya        |SAO 156110; HD 92055; CCCS 1714    |HYA|10 37.6|-13 23| 4.5|2.68|N2    |Period 450 days; 5.0-9.2m                                   |
|V Hya        |CD -20:3283; CCCS 1766             |HYA|10 51.6|-21 15| 9.3|5.5 |N;C6  |Period 533 days; 6.5-12m; Reddest star known; famous        |
|W Hya        |SAO 181981                         |HYA|13 49.0|-28 22| 7.5|1.4 |M7    |10mag companion 69 sec @ 107 deg                            |
|Lambda Hyi   |SAO 255710                         |HYI|00 48.6|-74 55| 5.1|1.37|K5    |50 min south of SMC                                         |
|BD +53 2834  |SAO 34250                          |LAC|22 16.2|+54 02| 9.2|2.1 |      |on SW edge of CL IC 1442                                    |
|DV Lac       |CCCS 3155                          |LAC|22 45.1|+56 37| 9.9|3.01|N;C4  |                                                            |
|TX Lac       |HD 215673; CCCS 3156               |LAC|22 45.9|+55 05|10  |2.02|R6    |                                                            |
|U Lac        |HD 215924                          |LAC|22 47.7|+55 10| 9  |2.3 |M4    |                                                            |
|TV Lac       |HD 216913; CCCS 3171               |LAC|22 56.1|+54 14| 9.4|2.11|N;C4  |                                                            |
|R Leo        |SAO 98769; HD 84748                |LEO|09 47.5|+11 26| 6  |1.3 |M8    |Period 310 days; 4.4-11.3m; Water bands in spectrum         |
|R Lep        |HD 31996; CCCS 276; SAO 150058     |LEP|04 59.6|-14 48| 5.9|1.8 |N6    |Period 432 days; 5.9-11m; famous; Hind's Crimson Star;      |
|RX Lep       |SAO 150206; HD 33664               |LEP|05 11.4|-11 51| 5.7|1.6 |M6    |Variable 5.9-7.0                                            |
|SZ Lep       |SAO 170582; CCCS 373               |LEP|05 35.8|-25 43| 7.9|1.97|N;C7  |Variable 7.4-7.0 mag                                        |
|Gamma Lep    |SAO 170759; H 40                   |LEP|05 44.5|-22 27| 3.6|0.45|K2    |3.6/6.3mag 97sec PA 350; Yellow and Red pair                |
|Z Lup        |HD 128033                          |LUP|14 35.9|-43 22| 7  |3.1 |C4    |                                                            |
|UW Lyn       |HD 42973                           |LYN|06 17.9|+61 31| 5  |1.8 |M3    |                                                            |
|R Lyn        |HD 51610                           |LYN|07 01.3|+55 20| 7.6|2   |S3    |                                                            |
|Y Lyn        |SAO 41784; HD 58521                |LYN|07 28.2|+46 00| 7.3|1.7 |M5    |Period 110 days; 6.9-7.5m; Orange star in rich field        |
|T Lyn        |BD +33:1686                        |LYN|08 22.7|+33 31| 9.2|2.45|Ne    |                                                            |
